Location,Latitude,Longitude,Demand
Coimbatore Railway Station,10.9973,76.9664,5
Gandhipuram Bus Stand,11.020522, 76.966698,7
Codissia Trade Fair Complex,11.04292,77.0265,1
Coimbatore International Airport,11.0304,77.0391,3
Brookefields Mall,11.0084,76.9596,4
RS Puram Market,11.0104173,76.9498,6
Tidel Park,11.0448,77.0136,2
Fun Republic Mall,11.025322,77.01172,3
Avinashi Road,11.01341,76.986394,5
Town Hall,10.9974,76.9589,2
Peelamedu Railway Station,11.0330,76.9997,4
Vadavalli,11.0268,76.9413,6
Saibaba Colony,11.0187,76.9058,3
Singanallur Lake,10.9891,77.0227,2
Saravanampatti IT Park,11.076375,77.002983,4
Race Course,10.9991,76.9773,3
GKNM Hospital,11.0122,76.9809,5
Perur Temple,10.9759,76.9148,3
Ramanathapuram,11.0782,76.8851,4
PSG Tech,11.0243,77.0028,2
